Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
8658 Corte Del Sol Ct Elk Grove," 95624-2524	","$275,000 ","$249,000 ", 06/18/10,1900,8712,4,3,1979," Ceiling Fan(s), Solar Heating, Whole House Fan, Window(s) Dual Pane, Window(s) Low "," Family fun, comfort,& excitement near Elk Grove Park & High School! Neighbors are like family! This home has it all! Room for boats & toys. Storage galore- 2 tool sheds, side yard covered storage & storage under home! Pool, gazebo, master bedroom deck, 2 year new HVAC. Smud Solar System for whole house electrical generation where SMUD credits back to the homeowners & a whole house fan,so Smud bills are low! New paint in every room, new carpet- no lino! Tile & laminate floors! Not a Short Sale", Passive Solar ,0,1,0,0
10808 BALLANTRAE Way Rancho Cordova," 95670-4934	","$359,950 ","$320,000 ", 09/27/06,1367,8276,3,2,1961," Ceiling Fan(s), Solar Heating, Whole House Fan		"," A 40 YEAR OLD XMAS TREE GREETS YOUR ARRIVAL, BEARING MEMORIES & PM SHADE*UPDATED CARPET & PERGO-LIKE FLOORS*EXPANSIVE WINDOWS BRING THE PARKLIKE YARD IN*THE INVITING POOL SURROUNDED BY FLOWERS AND FRUIT TREES*GAS FIREPLACE FOR COOL NIGHTS*THIS ONE OWNER HOME IS READY FOR A NEW OWNE", Passive Solar ,0,1,0,0
220 River Ridge Way Folsom," 95630-1859	","$1,030,000 ","$925,000 ", 07/03/06,4595,13068,4,4,1990," Ceiling Fan(s), Solar Heating, Whole House Fan		"," Relo forces sale! Reduced $100,000 $195/SF. Grand Tudor Sierra & Folsom dam views. Backs to park for privacy. Gorgeous kitchen w/upscale app. granite. Charming family room w/blt-in bar, entertainment center. Exec. style office. Resort rear yard-pool & built-in barbecue & beautifully maintained", Passive Solar ,0,1,0,0
2456 Starmount Way El Dorado Hills," 95762-4014	","$475,000 ","$470,000 ", 05/05/06,1808,12012,4,3,1966," Ceiling Fan(s), Solar Heating, Whole House Fan		"," Great Neighborhood close to 2 parks & Jackson Elementary School.All New stainless steel kitchen appliances.New tile floor & tile counter tops.New 50 year comp roof, 4 bedrooms,2 1/2 baths,front & back yard landscaped.100+ year old heritage Oak Tree in front yard.Built in pool in bkyd-spa on bk deck.Hrd wd fl", Passive Solar ,0,1,0,0
2541 Stoney Bar Ct Cool," 95614-2246	","$825,000 ","$630,000 ", 09/19/08,3546,31842,3,3,2006," Ceiling Fan(s), Solar Heating, Whole House Fan		"," New Custom Southwest Style Single Story on Triple Lot 7.31 ac! SOLAR. Gorgeous Views, R.V. garage, deck,covered patio fenced area outdoor shower. Lots of built ins and storage. Guest suite is handicapable. Completed 2006", Passive Solar ,0,1,0,0
3408 Weymouth Ln Modesto," 95350	","$439,900 ","$435,000 ", 06/28/07,1865,12632,3,2,1969," Ceiling Fan(s), Solar Heating, Whole House Fan		"," Get Ready for summer! 20x40 pool, open floor plan, lots of remodeling. Corian kit counters, bleached oak cabs w/pullouts, cedar closets, inviting LR and DR w/ fireplace overlooking huge backyard. Newer roof w/ solar for the pool, vegetable garden, quiet street, great neighborhood", Passive Solar ,0,1,0,0
3674 Fairway Dr Cameron Park," 95682-8626	","$450,000 ","$380,000 ", 04/14/08,1792,18295,3,2,1971," Ceiling Fan(s), Solar Heating, Whole House Fan"," Totally remodeled home near the golf course. Nestled amongst 38 redwood trees, several Japanese Maples, including a 50 yr old rare Red Japanese Maple. View the year round creek & pond from the living room. Spectacular rock walls", Passive Solar ,0,1,0,0
5408 Nyoda Way Carmichael," 95608-3059	","$325,000 ","$305,000 ", 10/30/09,1832,7506,3,2,1985," Ceiling Fan(s), Solar Heating, Tankless Wtr Heater, Window(s) Dual Pane		"," This attractive single story home is located on a great looking Cul-De-Sac in the heart of Carmichael! This home offers new carpet, new tile in bathrooms, new kitchen appliances, a great open floor plan with a huge separate Living Room, and a solar heated built in pool! The Master Bedroom offers two separate closets and a private entrance to the outside patio. The outside landscaping is lush with plants and flowers that only enhance the built-in pool & covered patio! This home is a must see", Passive Solar ,0,1,0,0
9567 Harvest Gold Ct Sacramento," 95827-3274	","$189,900 ","$212,000 ", 05/19/09,1503,7928,3,2,2005," Ceiling Fan(s), Solar Heating, Solar Screens, Window(s) Dual Pane		"," CORNER LOT!!! Very nice and cozy home with all the features you need...such as SOLAR SYSTEM ON THE ROOF for a more energy efficient lifestyle. Full of savings, shutter windows, stainless steel appliances, granite countertop, hardwood floors, master bedroom has jetted tub so you can relax during a tough work day, and maple cabinets to finish the house off in a nice touch. This is a Shortsale and they only have one bank that we are dealing with. Owner works 5 mins away...really easy to show", Passive Solar ,1,1,0,0
2007 W Alcazar Way Stockton," 95209-2403	","$165,000 ","$157,000 ", 04/09/08,1679,8276,3,2,1960," Ceiling Fan(s), Solar Heating, Solar Screens		"," Bring your big toolbox folks and you will have an opportunity to own in one of the finest communities in Stockton. This terrific home is a project but do the work and you will be richly rewarded. Home features a great floorplan, with a 90 degree garage, huge lot, and all it needs is you and those tools", Passive Solar ,0,1,0,0
9020 Paso Robles Way Elk Grove," 95758-6131	","$338,000 ","$320,000 ", 10/31/07,1661,6011,3,2,1991," Ceiling Fan(s), Solar Heating, Solar Screens		"," Gorgeous curb appeal in this spacious 3/2 in Laguna Springs. Large open kitchen w/breakfast nook, vaulted ceilings and recessed lighting. Elegant bamboo flooring throughout. Beautiful yard w/sparkling lap pool. Terrific neighborhood located near schools & aquatic and community center", Passive Solar ,0,1,0,0
5116 Heather Ranch Way Rancho Cordova," 95742-8116	","$354,000 ","$332,000 ", 12/08/09,2806,10672,4,3,2008," Ceiling Fan(s), Solar Heating, Solar Plumbed, Window(s) Dual Pane		", Gorgeous Single Story SOLAR Home by Lennar. Features all the bells and whistles incl: Granite Tops throughout- Raised Panel Cabinets- 20 x 20 Tile Floors- Plush carpeting- Plantation Shutters- SS Appliances- Fantastic Open Floor Plan- Situated on a Large Corner Lot with a back yard to die for, Passive Solar ,0,1,0,0
1113 Alondra Dr Ceres," 95307-7368	","$160,000 ","$148,000 ", 02/07/09,1742,5924,4,2,2004," Ceiling Fan(s), Solar Heating		", This is a lovely well kept Home. Lender has agreed to sells price with upto 3% closing cost at agreed sales price. All other offers will need bank approval, Passive Solar ,0,1,0,0
1634 Frank Ave Dos Palos," 93620-2553	","$19,900 ","$38,500 ", 04/28/10,893,6534,2,1,1953," Ceiling Fan(s), Solar Heating		"," Cute home with lots of potential. Updated kitchen, bathroom and partial new flooring. Large lot across from school", Passive Solar ,0,1,0,0
2205 Mari Ln Petaluma," 94954	","$499,000 ","$499,000 ", 08/04/08,2647,6011,6,3,1970," Ceiling Fan(s), Solar Heating		", A whole lot of house for the money! Over 2600 s.f. with six bedrooms with lots of options. Relax and enjoy the summer around the beautiful in ground pool with newer pool sweep. Upgraded kitchen and a full 3 car garage. Newer energy efficient gas furnace. Located on a quiet cul-de-sac. Hurry this one won't last long, Passive Solar ,0,1,0,0
2405 Clubhouse Dr Rocklin," 95765-5710	","$770,000 ","$770,000 ", 04/23/09,3557,12981,5,4,2003," Ceiling Fan(s), Solar Heating		"," Gorgeous Custom home with spectacular views! Backyard is second to none! Beautiful pool with vanishing edge waterfall, hot tub, outdoor kitchen, fireplace, sport court, dog run with misters, fruit trees, and golf course and valley views! Interior boasts downstairs master suite, gourmet kitchen, wonderful bonus room with wet bar, coffered ceilings, and exquisite lighting", Passive Solar ,0,1,0,0
2420 Julliard Cir Roseville," 95661-3906	","$539,000 ","$499,000 ", 10/31/06,1919,4530,4,3,1994," Ceiling Fan(s), Solar Heating		"," UPDATED CHARMER 4BD/2.5BA. EUREKA SCHOOL DIST. ITALIAN PORCELAIN TILE. SPARKLING POOL. PRIVATE REAR YARD. LOW MAINTENANCE LANDSCAPE. CLOSE TO PARKS, SCHOOLS, SHOPPING. GREAT LOCATION! MUST SEE", Passive Solar ,0,1,0,0
37847 Essanay Pl Fremont," 94536-1770	","$535,000 ","$505,000 ", 11/09/06,1236,2900,3,3,1981," Ceiling Fan(s), Solar Heating		"," Great starter home. This charming 3bd/2.5bth is priced to sell! Take a look for yourself. Located just blocks from Historic Niles, and Mision blvd", Passive Solar ,0,1,0,0
4515 Ascension St Rocklin," 95677-1801	","$389,950 ","$379,000 ", 04/22/08,1994,17424,3,4,1977," Ceiling Fan(s), Solar Heating		", GREAT CUSTOM HOME IN SUNSET HILL SUBDIVISION. ALMOST 1/2 ACRE LOT WITH LOTS OF TREES/PRIVACY. GREAT YARD FOR ENTERTAINING FEATURING BUILT IN POOL AND SPA! TWO STORY WITH MASTER SUITE AT UPPER ENTRY LEVEL. TWO BEDROOMS DOWN. SEPERATE LIVING ROOM AND DINING AREA. BUILT IN VAC, Passive Solar ,0,1,0,0
4640 American River Dr Sacramento," 95864-6157	","$874,500 ","$840,000 ", 07/20/06,2464,13504,4,3,1971," Ceiling Fan(s), Solar Heating		"," DEL DAYO CLASSIC, EXCEPTIONALLY CLEAN, WELL MAINTAINED HOME, CLOSE TO RIO AMERICANO AND JESUIT HIGH SCHOOLS, CLOSE TO AMERICAN RIVER BIKE TRAIL, APPRX 1500 SQFT (PER SELLER) OF GARAGE SPACE. ROOM FOR COLLECTOR CARS, BOAT, WORKSHOP, REC. ROOM, OR? NEW CARPET AND PAINT WITH LIGHT NEUTRAL COLORS", Passive Solar ,0,1,0,0
6181 Big Bend Dr Roseville," 95678-1979	","$415,000 ","$380,000 ", 04/16/09,2707,7710,4,3,2002," Ceiling Fan(s), Solar Heating		"," Exquisite large single story 4 bedroom home in beautiful Highland Park. This property features custom interior paint done in a neutral designer palet, large tuscan style tile in kitchen & master bath, large master suite with a luxurious roman soaking tub and walk in closets. The back yard is an entertainers paradise, boasting a beautiful pool and covered patio. The kitchen has a double oven (with convection) and tile counter tops. This home also has a solar generated electricity system", Passive Solar ,0,1,0,0
6825 Mercedes Ave Citrus Heights," 95621-5417	","$379,000 ","$379,000 ", 05/02/07,1731,9148,3,2,1962," Ceiling Fan(s), Solar Heating		"," BEST LOT IN BINET ESTATES!! First time on market in 33 yrs! .21 acre backs up to greenbelt. Open, spacious floor plan. Great for entertaining. Remodled in '89. PRICED TO SELL. Hurry, this won't last. Tell your agent to bring you to this one. Open this Sunday", Passive Solar ,0,1,0,0
7212 GARDENVINE Ave Citrus Heights," 95621	","$334,950 ","$350,000 ", 09/27/06,1434,5663,3,2,1983," Ceiling Fan(s), Solar Heating		", COME SEE THIS CITRUS HEIGHTS GEM!!! *NEW EXTERIOR PAINT* NEWER CARPET* 1YR OLD ROOF* WHOLE HOUSE FAN* SOLAR/WATER HEATER* BOAT ACCESS *WET BAR* FRESHLY LANDSCAPED*HIS AND HER CLOSETS*HOME WARRANTY* AND MUCH MORE...., Passive Solar ,1,1,0,0
7828 Renton Way Sacramento," 95828-4342	","$289,900 ","$251,000 ", 01/18/08,1398,10106,3,2,1977," Ceiling Fan(s), Solar Heating		"," THIS BEAUTIFUL 3 BEDROOM,2 FULL BATH HOME IS 1,393 SQFT.GREAT FLOOR PLAN,BUILT-IN POOL,BASKETBALL COURT,DOG RUN FOR FIDO.ALUMA WOOD PATIO COVER FOR THOSE RELAXING DAYS,NEWER ROOF WITH SOLOR HEATING.TO SEE THIS PROPERTY IS TO BUY.LETS MAKE A DEAL!!NOT A SHORT SALE OR BANK REPO.QUICK CLOSE HERE", Passive Solar ,0,1,0,0
8452 Juglans Dr Orangevale," 95662-3015	","$319,500 ","$319,500 ", 05/29/07,1456,7841,4,2,1978," Ceiling Fan(s), Solar Heating		"," MOVE IN READY,RV ACCESS & COVERED PATIO,GREAT FOR OURDOOR DINING. KITCHEN SERVING WINDOW,LOW MAINTENANCE ON FRONT AND BACKYARDS. MUST SEE TO APPRECIATE!! SELLER TO CONTRIBUTE UP TO $5,000 TOWARDS BUYER CLOSING COSTS!", Passive Solar ,0,1,0,0
8786 White Peacock Way Elk Grove," 95624-3708	","$274,500 ","$262,000 ", 07/09/10,2560,5532,4,3,1999," Ceiling Fan(s), Solar Heating		", HURRY!!! WON'T LAST Awesome Elk Grove Location. Lots of Room to entertain Family and Friends. Swimming Pool with Solar heating unit. Fresh Paint through out.MOVE IN READY. Water softner installed. NOT A SHORT SALE OR BANK OWNED. CHECK WITH LENDER FOR 90 FLIP RULE BEFORE SUBMITTING OFFE, Passive Solar ,0,1,0,0
11483 Green Bluffs Ct Gold River," 95670-7501	","$290,000 ","$305,000 ", 04/16/10,2073,8973,3,2,1986," Ceiling Fan(s), Solar Heating"," THIS SHORT-SALE IS APPROVED. AGENTS SEE REMARKS. HURRY, THIS WONT LAST! Wonderful Gold River beauty featuring formal dining, family/living room quarters and additional seperate office attached to Master Suite. Located in quiet cul-de-sac and backs to green belt and bike trail w/ no rear neighbors. Enjoy your summer w/ a built in pool which also has solar heating", Passive Solar ,0,1,0,0
11584 Prospect Hill Dr Gold River," 95670-8218	","$299,000 ","$290,000 ", 04/30/10,1894,7579,3,2,1989," Ceiling Fan(s), Solar Heating"," Single level Coker Home with Metal Roof. High Ceilings, Open plan, Ceiling fans,& Added Solar. Comstock Village Central location. Show by appointment. Occupant always home with 2 dogs", Passive Solar ,0,1,0,0
1720 S California St Stockton," 95206-2151	","$60,000 ","$52,000 ", 07/31/09,798,6970,3,1,1912," Ceiling Fan(s), Solar Heating",  , Passive Solar ,0,1,0,0
2405 CLUBHOUSE Dr Rocklin," 95765-5710	","$1,365,000 ","$1,260,000 ", 05/09/06,3557,11761,4,4,2003," Ceiling Fan(s), Solar Heating"," ONE OF A KIND GOLF COURSE PROPERTY W/MB SUITE DOWNSTAIRS. BEAUTIFUL BONUS RM W/WET BAR, DRAMATIC CEILING, GOURMET KITCHEN, FORMAL LIVING RM/DEN, FORMAL DINING ROOM, COFFERED CEILING. BACKYARD TO DIE FOR W/CUSTOM POOL, VANISHING EDGE WATERFALL, HOT TUB OUTDOOR KITCHEN & FIREPLACE. DON'T MISS THIS GREAT DEAL", Passive Solar ,0,1,0,0
3133 Chettenham Dr Rancho Cordova," 95670-5708	","$295,000 ","$295,000 ", 01/11/07,1125,7362,3,2,1978," Ceiling Fan(s), Solar Heating"," This type of home only comes around so often. It has been fully remodeled, almost everything is new and totally updated. New Kitchen, Bathrooms, Paint inside and out, new Carpet, new Doors throughout inside and out and new garage door. The list goes on must come and see to fully appreciate what has been done", Passive Solar ,0,1,0,0
420 Dawnridge Dr Roseville," 95678	","$369,900 ","$330,000 ", 07/27/07,1498,8276,3,2,1979," Ceiling Fan(s), Solar Heating"," The century old oak graces the front yard & the new entry doors invite you home.Designer tile flooring,newer carpets,granite counters,updated bathrooms, New roof & newer appliances incl. HVAC make this a perfect home choice. Call today and you can enjoy summer fun in this amazing pool & spa. Hurry won't last", Passive Solar ,0,1,0,0
628 Lilja Ct Roseville," 95678-1344	","$449,000 ","$310,000 ", 02/26/10,3049,6752,5,3,2005," Ceiling Fan(s), Solar Heating"," Great house conveniently located close to Galeria Mall, freeway, shools and parks", Passive Solar ,0,1,0,0
634 Hudson Ln Modesto," 95351-3122	","$109,900 ","$90,000 ", 07/10/08,1202,6384,3,1,1956," Ceiling Fan(s), Solar Heating", Clean recently updated home on quiet tree lined street. Great REO. Repo Opportunity, Passive Solar ,0,1,0,0
9249 Linda Rio Dr Sacramento," 95826-2209	","$246,000 ","$206,000 ", 06/29/10,1794,5706,4,3,1976," Ceiling Fan(s), Solar Heating", Government owned HUD property. Sold As-Is, Passive Solar ,0,1,0,0
9249 Linda Rio Dr Sacramento," 95826-2209	","$299,900 ","$290,000 ", 07/29/08,1794,N/A,4,3,1976," Ceiling Fan(s), Solar Heating", **BANK OWNED***Desirable College Greens East Neighborhood ***Walking distance from Community center and American River **Near LightRail. Pool Home great for entertainment, Passive Solar ,0,1,0,0
9602 Harvest View Way Sacramento," 95827-3267	","$392,000 ","$352,000 ", 06/05/07,1625,7275,3,2,2004," Ceiling Fan(s), Solar Heating"," Very clean and spacious single story 3BD 2BA 1625 Sq Ft. Close to school, shopping center and freeway access. Youv'e got to come and see it for yourself", Passive Solar ,0,1,0,0
340 Kevin Ct Auburn," 95603-3506	","$309,000 ","$285,000 ", 02/10/10,2247,12894,3,3,1984," Ceiling Fan(s), Solar Domestic Water, Solar Heating, Solar Plumbed"," Go green with this Solar home and save over $600/yr on your electric bill. New carpet, clear pest, dual HVAC, wonderful 10x10 screen/sun porch, raised veg beds & great fruit trees. Floor plan is perfect for inlaw, teens, home business or? Large master has jetted tub and double sinks and shower. Cul-de-sac location, yet close to everything", Passive Solar ,0,1,0,0
2274 DUNSLEY Cir Roseville," 95747-8845	","$379,900 ","$375,000 ", 07/13/10,2816,7754,5,3,2007," Ceiling Fan(s), Solar Chamber, Window(s) Dual Pane"," NOT A SHORT SALE OR REO.Don't miss this near new 2007 Centex SOLAR home in beautiful Westpark. 5 bdrms 3 bths. Huge living room/dining rm, plus separate kitchen/great rm. Downstairs bdrm & bath. Maple kitchen cabinets with granite counter and island. S/S appliances. 4 bdrms w/ walk-in closets. Plantation shutters throughout Seller paid extra for premium lot with plenty of room for a pool. Free-form stamped patio. Numerous upgrades.Close to elem. & middle school. Several parks in Westpark Villag", Solar Heating ,1,0,0,0
205 Golden Hill Ct Roseville," 95661-5085	","$1,339,000 ","$1,200,000 ", 12/29/06,5532,52272,6,5,2006," Ceiling Fan(s), Solar Chamber, Solar Heating		"," STUNNING NEW CONST ON OVER 1 ACRE OF PRIVACY. OVER 5500 SQFT+/- ADD DETAC GARAGE/WORKSHOP/STUDIO SINGLE STORY W/GRANITE KITCHEN S/S APPLI GREAT ROOM FOR ENTERTAINING LRG D/R $60,000 SOLAR SYSTEM FOR ENERGY SAVINGS. THIS HOME HAS IT ALL AND MORE FLATWORK TO BE COMP. BY MID OCT. EST. COMPLETION, OCT 31", Passive Solar ,0,1,0,0
5226 Copper Sunset Way Rancho Cordova," 95742	","$380,315 ","$385,315 ", 05/16/08,2998,6591,4,3,NA," Ceiling Fan(s), Smart Vent, Solar Heating		"," Absolutely Beautiful MODEL HOME for sale. Granite slab, tile, large covered patio, fully landscaped front and rear, Solar plus Smart Vent. Dining room is separate with chocolate cherry cabinets throughout. All appliances included. THIS IS A SOLAR MODEL HOME", Passive Solar ,0,1,0,0
1580 Vista Ridge Way Roseville," 95661-4018	","$949,000 ","$915,000 ", 03/30/07,4100,20038,4,4,2002," Ceiling Fan(s), Smart Vent, Solar Heating"," BACKYARD ESCAPE! Incredible location with infinity edge heated pool,wading pool,spa & mature oaks overlooking greenbelt providing an awesome view! Popular Jackson model w/upstairs loft & spacious Bonus Room(great flooring). Dwnstairs office.Gated community. Stunning Maple chestnut color cabinetry. A MUST SEE", Passive Solar ,0,1,0,0
4271 Greenvale Rd Fair Oaks," 95628-6111	","$725,000 ","$590,500 ", 10/21/09,2614,43560,3,3,1979," Ceiling Fan(s), Skylight(s), Window(s) Dual Pane		"," Beautiful custom remodeled home on 1 acre. Enjoy the forest like views from most rooms. Large bright kitchen with tile and wood cabinets. Inviting living room with soaring vaulted beamed ceiling and spectacular floor to ceiling rock fireplace. Master suite has walk-in closet and more. Professional home office includes built-in oak desk, bookcases, drawers. Wine stoarge room. Workshop w/220v. Unique special purpose room w/dog washing sink or? RV pad w/power and water. Quiet and close to town", Solar Heating ,1,0,0,0
10180 Seigler Springs North Rd Cobb," 95426	","$569,000 ","$515,000 ", 03/22/10,2400,91476,3,3,2003," Ceiling Fan(s), Skylight(s), Wall Insulation, Window(s) Dual Pane"," Private Self-Sufficiency.Over 2acrs. Fenced. 9.6kw photovoltaic Solar System. Well w/2 storage tanks (500&2500 gallon)2000sf basement w/10ft ceilings. Sweeping View of vineyards, Clearlake, & Konocti. 3 bdrm Plus office/4thbdrm & loft for workout/2nd office.2 Master Suites. Radiant Floor Heat,central heat & Ozone & green sand water treatment.Hot tub.Backupgenerator. 500sf Deck.Deep garage w/workshop.Vaulted ceilings, nearly new. Possibilities", Solar Heating ,1,0,0,0
2668 Marty Way Sacramento," 95818-2340	","$450,000 ","$350,000 ", 03/17/09,1784,5663,2,2,1944," Ceiling Fan(s), Skylight(s), Solar Heating, Window(s) Dual Pane, Window(s) Low "," UPDATED KITCHEN W/CUSTOM OAK CBNTS,CORIAN CNTRS. BUILT IN DESK AREA,TILE FLR.REFRIG,WASHER/DRYER INCLU.FM W/BOOK CASE,TILE FR & FP.SUN RM W/SKY LIGHT,WET BAR W/CORIAN CNTR,TILE FLR & SLIDER.CUSTOM COVER INCLU.50 YR. COMP ROOF IS APPROX.4 YRS.OLD.DUAL PANE WINDOWS.THERAPEUTIC,JETTED EXERCISE POOL WITH SPA! SOME HARDWOOD FLOORS MAY BE UNDER CARPETING", Passive Solar ,0,1,0,0
2727 Monticello Rd Napa," 94558	","$1,700,000 ","$1,100,000 ", 01/06/10,2700,26484,3,5,1988," Ceiling Fan(s), Skylight(s), Solar Heating, Window(s) Dual Pane, Window(s) Low "," Private, gated estate with spectacular views overlooking the Napa Valley and beyond. Three bedrooms plus den, extensively remodeled in 2008 including new siding & paint, roof, numerous windows, bathrooms, flooring, decking, a FULL SOLAR System for a minimal PG&E bill, etc. Seasonal Creek with waterfalls. Massive 5+ car detached garage (1,104+/- sq. ft.) with bathroom. Only 5.1 miles to Highway 29 . . . yet a world away", Passive Solar ,1,1,0,0
5150 Parkford Cir Granite Bay," 95746-6697	","$524,000 ","$455,000 ", 08/14/09,2016,11326,3,2,1995," Ceiling Fan(s), Skylight(s), Solar Heating, Window(s) Dual Pane, Other		"," Lovely updated single story home. Original owners have maintained this beauty very nicely. New hickory hardwood floors, granite counters,carpet and paint make this home a must see. Three bedroom plus office/4thbdrm.Home sits deep on the lot for privacy. Other features include Aprilair whole house air cleaner, and solar heated pool. Large Backyard with plenty of room for play structure. Eureka schools, Granite Bay High and a short walk to Treelake Park. You won't be dissappoited", Passive Solar ,0,1,0,0
7998 Prairie Field Dr Sacramento," 95829-6576	","$580,000 ","$625,000 ", 12/21/09,5287,40467,5,4,2002," Ceiling Fan(s), Skylight(s), Solar Heating, Window(s) Dual Pane		", When you BUY THIS HOME you get .... a magnificent home .... with a pool ... spa...outdoor kitchen ...casita for the in-laws... incredible kitchen ....tile floors...lots of space and bedrooms...formal dining room...3 car garage, Passive Solar ,0,1,0,0
10100 Brighton Oaks Ct Elk Grove," 95624-1311	","$499,500 ","$491,000 ", 06/29/06,1974,7841,5,2,1995," Ceiling Fan(s), Skylight(s), Solar Heating, Whole House Fan		"," FIVE BEDROOMS IN A ONE STORY!!! Once you enter this charming home a peaceful feeling sets in. The one story floor plan is open and filled with elegance and natural light. Some features include super large solar heated POOL, large kitchen with island and new appliances, whole house fan, and much more", Passive Solar ,0,1,0,0
1815 Gingersnap Ln Lincoln," 95648-8629	","$400,000 ","$380,000 ", 04/13/10,1791,7971,2,2,2000," Ceiling Fan(s), Skylight(s), Solar Heating, Solar Screens, Window(s) Dual Pane"," This Del Webb TAHOE floor plan has solar power, box window in the master suite,sile stone kitchen counters. A private east facing backyard with a soothing water feature", Passive Solar ,1,1,0,0
308 E Yorkshire Dr Stockton," 95207-5841	","$198,000 ","$170,000 ", 07/23/10,2300,6970,3,3,1959," Ceiling Fan(s), Skylight(s), Solar Heating		"," Wonderful home on tree lined street. 3 full bedrooms plus a 4th room with a full bath (could be 4th bedroom). 3 full baths plus a full bath in the garage. Formal living/dining room, new appliances in kitchen with eating booth. Den with built in bar, TV and stereo. Central vacuum. Enclosed spa room opening up to the backyard and FR. Immaculate back yard, with tool closet, tool shed and enclosed dog run. This is not an REO or SS", Passive Solar ,0,1,0,0
505 Lilac Ln Rio Linda," 95673-3914	","$295,900 ","$267,000 ", 12/06/07,1799,24829,3,3,1976," Ceiling Fan(s), Skylight(s), Solar Heating		"," **Bank Owned Property** Energy Efficient 3/4 Bedroom Home on a Large Lot. It Features Solar Heating, Family Room with Wood Burning Fireplace, Newer Windows and many others.Home is Selling in As Is Condition", Passive Solar ,0,1,0,0
6600 Lucas Valley Rd Nicasio," 94946	","$2,620,000 ","$2,350,000 ", 02/08/08,3416,10113,4,4,1979," Ceiling Fan(s), Skylight(s), Low-Flow Toilet(s), Solar Heating		"," Resort Living At Home! Spectacular secluded 23 acre Estate with 3 bedrooms & 2.5 baths in the main house & 1 bedroom, full kitchen & bath in the detached studio. Located just 8.5 miles from Hwy 101, this unique property includes breathtaking views from 3 levels, seasonal creeks, a private enchanting pool, hot tub & cooling pool and is surrounded by hiking trails. Horse accommodations along 2 graceful river stone bridges. 3-car detached garage", Passive Solar ,0,1,0,0
6517 Dry Creek Rd Napa," 94558-9775	","$2,750,000 ","$2,250,000 ", 05/06/05,3965,13446,8,8,NA," Ceiling Fan(s), Skylight(s)		"," Enjoy seclusion,gorgeous vineyard & mountain views.Includes 2 parcels of 30.87 acres and of 0.92 acres in the Napa Valley.The charmingly rustic & agrarian setting features 2 main homes,(8 beds 8 baths & 2 beds 2 baths for the other)& 2 guest cottages (1 bed 2 baths & 2 bed 1 bath for the other)A total of 13 beds 13 baths.A 2.5 acre Cab Franc vineyard, pool, tennis court, sauna, garage/workshop complete with walking trails", Solar Heating ,1,0,0,0
7220 Long River Dr Sacramento," 95831-3458	","$249,900 ","$249,000 ", 07/29/10,1455,6578,3,2,1983," Ceiling Fan(s), Skylight Tube, Window(s) Dual Pane		"," Darling deal on this super clean 3 Bd 2 Ba in Greenhaven! Located on a large lot with mature trees. Recent improvements include Dual pane windows, Solar sun tubes, Refinished kitchen cabinetry & New flooring, Interior paint, Roof & A/C unit. Large living room with brick fireplace & wetbar. Ecnlosed sun room Master has access to yard", Solar Heating ,1,0,0,0
2221 Wild Plains Cir Rocklin," 95765-5371	","$569,950 ","$560,000 ", 07/16/10,4424,9185,5,5,2010," Ceiling Fan(s), Photovoltaic Power, Window(s) Dual Pane, Window(s) Low "," BRAND NEW SOLAR HOME - Starling Plan with 5 bedrooms and 5 bathrooms. This is a great home for entertaining. Beautiful gourmet/commercial type kitchen with granite countertops, 48 stainless steel range with 6 gas burners and a gridle, 20x20 tile floors, custom paint, 2.3kw solar system, energy efficient windows, radiant barrier, and more. This home is located at Wisteria at Whitney Ranch, a private neighborhood planned for 60 luxury homes", Photovoltaic Power ,0,0,1,0
8455 Winterberry Dr Elk Grove," 95624	","$259,000 ","$252,000 ", 02/26/10,1837,5570,4,2,1999," Ceiling Fan(s), Photovoltaic Power, Window(s) Dual Pane, Window(s) Low ", This not a REO or Short Sale, Photovoltaic Power ,0,0,1,0
11250 Rosemary Dr Auburn," 95603	","$449,625 ","$410,000 ", 09/04/09,2071,14810,4,2,1991," Ceiling Fan(s), Photovoltaic Power, Window(s) Dual Pane		"," You've found it. Exceptional single level home in prime neighborhood. Many upgrades-newer roof, central air, water heater, rear deck plus a bonus solar system to cut monthly electric bills. Kitchen has been upgraded with granite counter tops and new appliances. Larger rear yard with many flowers and trees. Truly a special home!!! Vacant and ready to move in", Photovoltaic Power ,0,0,1,0
1790 Auburn Folsom Rd Auburn," 95603-9408	","$694,000 ","$680,000 ", 03/26/10,2329,20473,3,3,1984," Ceiling Fan(s), Photovoltaic Power, Window(s) Dual Pane		"," $62,000 Solar System provides most of the ranch's energy needs. 3 barns including feed barn w/concrete floor (for clean feed storage)and electricity. Paddocks w/overhangs for animal shelters in feed areas. PCWA irrigation stream on property. 2.25 miner inch of deeded irrigation water available(check w/PCWA for connection & usage fees). Cross fenced w/No Climb fencing- Lodge Pole treated posts, Metal Pipe posts in addition to T posts. Roof 2003, HVAC 2006, Trex decking. Remodel completed 2004", Photovoltaic Power ,0,0,1,0
